scenario,frame,src,family,paMethod,plannedBwHz,rsHz,beta,execObwHz,theoryCleanObwHz,ratioVsTheory,ratioVsAllocation,measObwHz,snrDb,activeN
12,8,6,QAM,Ghorbani model,10000000,8000000,0.25,9431206.59,8824545.657,1.06875,0.943121,9333639.674,15.5647,409
12,11,1,OFDM,Saleh model,10000000,8000000,0.25,10776938.27,NaN,NaN,1.07769,10714975.1,6.95999,409
12,11,2,OFDM,Cubic polynomial,20000000,16000000,0.25,20305702.89,NaN,NaN,1.01529,20106678.01,14.5237,409
12,11,3,OFDM,Lookup table,20000000,16000000,0.25,20518312.79,NaN,NaN,1.02592,20349371.78,11.8001,409
12,11,4,QAM,Hyperbolic tangent,20000000,16000000,0.25,18148982.9,17649091.31,1.02832,0.907449,18327618.5,18.3252,409
12,11,5,QAM,Ghorbani model,10000000,8000000,0.25,9425141.945,8824545.657,1.06806,0.942514,9287913.189,19.0529,409
12,12,1,OFDM,Saleh model,10000000,8000000,0.25,9954021.321,NaN,NaN,0.995402,9711620.41,6.95999,2047
12,12,2,OFDM,Cubic polynomial,20000000,16000000,0.25,20017792.17,NaN,NaN,1.00089,19857307.82,14.5237,2047
12,12,3,OFDM,Lookup table,20000000,16000000,0.25,19945904.88,NaN,NaN,0.997295,19787638.66,11.8001,2047
12,12,4,QAM,Hyperbolic tangent,20000000,16000000,0.25,18019062.9,17649091.31,1.02096,0.900953,18165216.42,18.3252,2047
12,12,5,QAM,Ghorbani model,10000000,8000000,0.25,8927888.008,8824545.657,1.01171,0.892789,8890033.682,19.0529,2047
12,13,1,OFDM,Saleh model,10000000,8000000,0.25,10017406.65,NaN,NaN,1.00174,10111262.81,6.03754,2047
12,13,2,OFDM,Cubic polynomial,20000000,16000000,0.25,19896923.25,NaN,NaN,0.994846,19653724.39,14.5979,2047
12,13,3,OFDM,Lookup table,20000000,16000000,0.25,19764197.9,NaN,NaN,0.98821,19681791.23,-4.62861,2047
12,13,4,OFDM,Saleh model,10000000,8000000,0.25,10008300.21,NaN,NaN,1.00083,9867429.397,1.81983,2047
12,13,5,QAM,Hyperbolic tangent,20000000,16000000,0.25,17818526.78,17649091.31,1.0096,0.890926,17636514.28,3.41198,2047
12,13,6,QAM,Ghorbani model,10000000,8000000,0.25,9043306.323,8824545.657,1.02479,0.904331,8984181.933,-3.96324,2047
12,14,1,OFDM,Saleh model,10000000,8000000,0.25,10686752.3,NaN,NaN,1.06868,10793146.01,6.03754,409
12,14,2,OFDM,Cubic polynomial,20000000,16000000,0.25,20457328.78,NaN,NaN,1.02287,20168315.14,14.5979,409
12,14,3,OFDM,Lookup table,20000000,16000000,0.25,20417561.84,NaN,NaN,1.02088,20347238.89,-4.62861,409
12,14,4,OFDM,Saleh model,10000000,8000000,0.25,10114542.67,NaN,NaN,1.01145,10042632.64,1.81983,1637
12,14,5,QAM,Hyperbolic tangent,20000000,16000000,0.25,18205261.27,17649091.31,1.03151,0.910263,17967249.39,3.41198,409
12,14,6,QAM,Ghorbani model,10000000,8000000,0.25,9431206.59,8824545.657,1.06875,0.943121,9616605.507,-3.96324,409
12,17,1,OFDM,Saleh model,10000000,8000000,0.25,10776938.27,NaN,NaN,1.07769,10704930.44,8.53639,409
12,17,2,OFDM,Cubic polynomial,20000000,16000000,0.25,20305702.89,NaN,NaN,1.01529,20378938.26,10.4403,409
12,17,3,OFDM,Lookup table,20000000,16000000,0.25,20518312.79,NaN,NaN,1.02592,20157007.97,16.6869,409
12,17,4,QAM,Hyperbolic tangent,20000000,16000000,0.25,18148982.9,17649091.31,1.02832,0.907449,18374757.28,-2.57969,409
12,17,5,QAM,Ghorbani model,10000000,8000000,0.25,9425141.945,8824545.657,1.06806,0.942514,9307209.642,-2.40125,409
12,18,1,OFDM,Saleh model,10000000,8000000,0.25,9954021.321,NaN,NaN,0.995402,9990813.394,8.53639,2047
12,18,2,OFDM,Cubic polynomial,20000000,16000000,0.25,20017792.17,NaN,NaN,1.00089,20011999.55,10.4403,2047
12,18,3,OFDM,Lookup table,20000000,16000000,0.25,19945904.88,NaN,NaN,0.997295,19950835.19,16.6869,2047
12,18,4,QAM,Hyperbolic tangent,20000000,16000000,0.25,18019062.9,17649091.31,1.02096,0.900953,18180306.5,-2.57969,2047
12,18,5,QAM,Ghorbani model,10000000,8000000,0.25,8927888.008,8824545.657,1.01171,0.892789,8963172.81,-2.40125,2047
