scenario,frame,src,family,paMethod,plannedBwHz,rsHz,beta,execObwHz,theoryCleanObwHz,ratioVsTheory,ratioVsAllocation,measObwHz,snrDb,activeN
5,8,3,OFDM,Hyperbolic tangent,20000000,16000000,0.25,20264564.31,NaN,NaN,1.01323,20337012.5,9.94885,817
5,8,4,QAM,Cubic polynomial,40000000,32000000,0.25,35247599.68,35298182.63,0.998567,0.88119,35247060.97,4.66141,817
5,9,1,OFDM,Modified Rapp model,20000000,16000000,0.25,19776671.5,NaN,NaN,0.988834,19777185.13,0.83821,1022
5,9,2,QAM,Lookup table,40000000,32000000,0.25,35405072.55,35298182.63,1.00303,0.885127,35118320.74,18.423,100
5,9,3,OFDM,Hyperbolic tangent,20000000,16000000,0.25,19879896.47,NaN,NaN,0.993995,19798979.26,10.0025,1022
5,9,4,QAM,Cubic polynomial,40000000,32000000,0.25,35337957.14,35298182.63,1.00113,0.883449,35337348.94,4.71158,1022
5,10,1,OFDM,Modified Rapp model,20000000,16000000,0.25,19963216.05,NaN,NaN,0.998161,19964143.85,25.97,1022
5,10,2,OFDM,Hyperbolic tangent,20000000,16000000,0.25,20009891.56,NaN,NaN,1.00049,19925013.5,41.4197,1022
5,10,3,QAM,Cubic polynomial,40000000,32000000,0.25,35135920.64,35298182.63,0.995403,0.878398,35135388.29,28.9226,1022
5,11,1,OFDM,Modified Rapp model,20000000,16000000,0.25,20098874.93,NaN,NaN,1.00494,20097920,26.0603,817
5,11,2,OFDM,Hyperbolic tangent,20000000,16000000,0.25,20224749.15,NaN,NaN,1.01124,20212934.78,42.2929,817
5,11,3,QAM,Cubic polynomial,40000000,32000000,0.25,35266893.91,35298182.63,0.999114,0.881672,35267558.77,29.236,817
5,12,1,QAM,Lookup table,40000000,32000000,0.25,35828435.06,35298182.63,1.01502,0.895711,35346900.24,11.7592,305
5,13,1,QAM,Lookup table,40000000,32000000,0.25,35059161.27,35298182.63,0.993229,0.876479,34995747.23,11.5717,1022
5,14,1,QAM,Lookup table,40000000,32000000,0.25,35152094.88,35298182.63,0.995861,0.878802,34981847,11.7115,1022
5,15,1,QAM,Lookup table,40000000,32000000,0.25,35487109.12,35298182.63,1.00535,0.887178,35524942.08,7.30416,612
5,15,2,QAM,Lookup table,40000000,32000000,0.25,35582777.21,35298182.63,1.00806,0.889569,34956069.06,7.48165,408
5,16,1,QAM,Lookup table,40000000,32000000,0.25,35219984.96,35298182.63,0.997785,0.8805,35376591.6,7.33686,1022
5,17,1,OFDM,Modified Rapp model,20000000,16000000,0.25,20260603.81,NaN,NaN,1.01303,20261336.26,6.97735,817
5,17,2,QAM,Lookup table,40000000,32000000,0.25,35351876.7,35298182.63,1.00152,0.883797,35073538.34,21.1943,1022
5,17,3,OFDM,Hyperbolic tangent,20000000,16000000,0.25,20264564.31,NaN,NaN,1.01323,20285216.58,20.194,817
5,17,4,QAM,Cubic polynomial,40000000,32000000,0.25,35247599.68,35298182.63,0.998567,0.88119,35246640.52,4.71227,817
5,18,1,OFDM,Modified Rapp model,20000000,16000000,0.25,19776671.5,NaN,NaN,0.988834,19776233.11,6.79952,1022
5,18,2,QAM,Lookup table,40000000,32000000,0.25,35405072.55,35298182.63,1.00303,0.885127,35068684.93,21.1045,100
5,18,3,OFDM,Hyperbolic tangent,20000000,16000000,0.25,19879896.47,NaN,NaN,0.993995,19862976.82,20.1396,1022
